file,tau,m,m_use,mD,mL,mEN,mTT,rank,group
pmn_j1717-5155_lc_liner.csv,23,2,2,0.9998627711851145,144.08128009016332,5.6400019984444905,135.63356644866522,1,High
pks1451-375_lc_liner.csv,9,5,5,0.9995656372869582,63.842736872393836,4.729875066803107,67.21454856618769,2,High
pks1510-324_lc_liner.csv,44,3,3,0.9967629291299763,82.17429690920594,4.00180294501849,38.639097952216034,3,High
pmn_j1913-3630_lc_liner.csv,24,4,4,0.9960047075372891,20.644296266126265,3.6139380624304804,19.42719234546056,4,High
4c+40.25_lc_liner.csv,6,3,3,0.9931599930081422,39.2498736441009,3.809401015559928,56.604984340153486,5,High
b3_0650+453_lc_liner.csv,6,4,4,0.9911400052330863,27.000069420790616,3.3932371105213184,37.35065282557333,6,High
pks0235-618_lc_liner.csv,4,3,3,0.9905614884454799,27.119000385595825,3.5722786831056603,37.99130100243907,7,High
3c446_lc_liner.csv,8,5,5,0.9890694076423875,29.53053058915619,3.4591625807122037,29.759140347518475,8,High
pks2123-463_lc_liner.csv,5,4,4,0.9878790657501131,32.54304748923597,3.4004232393146943,34.98639009554078,9,High
nvss_J090442_lc_liner.csv,55,3,3,0.9869968150015953,23.24884104136691,3.4573104762700866,22.28207186634142,10,High
sbs1150+497_lc_liner.csv,13,3,3,0.9860207315038192,28.883676649588363,3.3015531803365854,44.276446531478456,11,High
oq334_lc_liner.csv,15,4,4,0.9832277747983623,31.372129115778666,3.3228065649510703,41.92003696895037,12,High
gb1310+487_lc_liner.csv,2,3,3,0.9817484799315487,72.4166916872341,3.7774105729797194,102.88485532517431,13,High
pks0920-39_lc_liner.csv,16,5,5,0.9816661552304051,39.25020170554289,3.4343886013881813,25.06835664775387,14,High
txs0646-176_lc_liner.csv,12,5,5,0.9802747863716077,27.22978905495441,2.6151696752826963,36.97210196307359,15,High
pks0403-13_lc_liner.csv,24,4,4,0.9787363403712585,12.17629829170445,3.055651544160855,11.962501844273248,16,High
pks0507+17_lc_liner.csv,3,3,3,0.9783398552397091,16.712991151284694,2.7201781829314866,26.385433877426426,17,High
mrc_1036-529_lc_liner.csv,11,4,4,0.977550029991445,32.08964084649069,3.3390195009579977,39.005894755415184,18,High
pks0346-27_lc_liner.csv,27,3,3,0.9747832430210892,36.827158073730985,3.0745004336338386,57.910747132758786,19,High
pks0438-43_lc_liner.csv,5,4,4,0.9729954832604015,53.5211208914816,3.2936688375136627,62.7950461277916,20,High
pmn_j0017-0512_lc_liner.csv,8,4,4,0.9703009773980297,14.266956359228706,2.594734546740516,16.526757296410217,21,High
pks0035-252_lc_liner.csv,8,4,4,0.9698269861526384,31.19703375690907,2.7953019932609107,38.30685062380927,22,High
mg2_j071354+1934_lc_liner.csv,10,3,3,0.9695955500493421,25.72300310472334,3.039982328745819,25.353538658820767,23,High
pks1346-112_lc_liner.csv,9,3,3,0.968427728414391,17.85849618297859,3.3360961842007377,17.809331380325677,24,High
pks_b2258-022_lc_liner.csv,29,4,4,0.9656937142128598,9.084838916569147,2.8140061748359915,12.220734326175835,25,High
pks1004-217_lc_liner.csv,20,5,5,0.9634673398064212,12.649178280930688,2.739557747287903,16.837279539290844,26,High
pmn_j0852-5755_lc_liner.csv,3,4,4,0.9631952142773205,19.44029332669277,2.757525821914505,28.127819829356206,27,High
pks1329-049_lc_liner.csv,4,4,4,0.9614438421637364,20.11198103768477,2.7599317964529795,30.257041436295204,28,High
b2_1846+32a_lc_liner.csv,11,5,5,0.9613412018397625,12.691567516077304,2.8279329115578298,16.04259243455777,29,High
pks2144+092_lc_liner.csv,7,4,4,0.9600887909207023,10.52888287101884,2.729883667493932,12.593530808316256,30,High
s4_1800+44_lc_liner.csv,3,5,5,0.9571510866517172,17.686082614118938,2.676470471368623,26.120243166685704,31,High
pks1824-582_lc_liner.csv,5,4,4,0.9566533580598314,15.161799298684254,2.43568248788104,24.767277057851945,32,High
gb6_j0742+5444_lc_liner.csv,15,10,10,0.9560795921049525,10.93146312768003,2.4486998758250813,13.819471293883083,33,High
nrao676_lc_liner.csv,4,5,5,0.9553214714031082,13.501126389826897,2.5125192742944575,20.343963349528163,34,High
pks2032+107_lc_liner.csv,11,5,5,0.9541719764865324,11.634607160984066,2.557086905506066,17.518092384606508,35,High
pmn_j0531-4827_lc_liner.csv,15,6,6,0.9540651655164138,16.001310760084838,2.7484231111907684,19.901151508825023,36,High
pks0131-522_lc_liner.csv,2,4,4,0.9539761025533435,21.907034174732157,3.5899770727655493,32.52376348316082,37,High
pks0528+134_lc_liner.csv,4,4,4,0.9510356494908768,16.640240064187854,2.820189022016319,17.41249964390271,38,High
h1426+428_lc_liner.csv,10,4,4,0.9497137320782917,7.48352194972791,2.4824645490480313,6.36410246192153,39,High
pks1313-333_lc_liner.csv,8,4,4,0.9486301780185696,12.236890933884439,2.736978657650973,17.85410450760617,40,High
pks2155-83_lc_liner.csv,6,4,4,0.9451858082700062,11.705979431465995,2.615823640805689,12.949058509441016,41,High
b2_1504+37_lc_liner.csv,3,4,4,0.9440657874865362,12.806784263484682,2.6506751152059067,17.901737917830992,42,High
b3_1708+433_lc_liner.csv,6,5,5,0.941885484852064,9.157120188008175,2.23755588497067,14.683313529290524,43,High
ok630_lc_liner.csv,4,4,4,0.9407116294124485,13.593534341186274,2.610250200722825,20.08010824537257,44,High
pmn_j2141-6411_lc_liner.csv,8,5,5,0.939482700661588,11.655429836556515,2.6750080362786686,15.87903112922111,45,High
1ES2322-409_lc_liner.csv,11,4,4,0.9391168527801226,10.186522941611688,2.6612187977674786,12.508098397248627,46,High
ot081_lc_liner.csv,3,4,4,0.9381579243315302,13.314212956406347,2.4536075609981514,20.33208414941759,47,High
oj248_lc_liner.csv,11,3,3,0.937350476548478,15.779946811375291,2.89109480852534,21.47117408523041,48,High
